Freq.	V(n004)	V(n005)
1.61624545454545e+07	(4.35118402867815e+01dB,1.69933839781083e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.71725454545455e+07	(4.34985383561380e+01dB,1.69312811337386e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.81826363636364e+07	(4.34844730684403e+01dB,1.68693527721110e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.91927272727273e+07	(4.34696516693392e+01dB,1.68076064663687e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.02028181818182e+07	(4.34540817351485e+01dB,1.67460498389462e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.12129090909091e+07	(4.34377711603201e+01dB,1.66846905002777e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.22230000000000e+07	(4.34207281445506e+01dB,1.66235360028168e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.32330909090909e+07	(4.34029611795648e+01dB,1.65625938058546e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.42431818181818e+07	(4.33844790356231e+01dB,1.65018712481240e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.52532727272727e+07	(4.33652907477940e+01dB,1.64413755261445e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.62633636363636e+07	(4.33454056020368e+01dB,1.63811136768887e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.72734545454545e+07	(4.33248331211355e+01dB,1.63210925637731e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.82835454545455e+07	(4.33035830505251e+01dB,1.62613188652563e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.92936363636364e+07	(4.32816653440508e+01dB,1.62017990655258e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.03037272727273e+07	(4.32590901496985e+01dB,1.61425394468896e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.13138181818182e+07	(4.32358677953354e+01dB,1.60835460835844e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.23239090909091e+07	(4.32120087744955e+01dB,1.60248248367827e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.33340000000000e+07	(4.31875237322469e+01dB,1.59663813506294e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.43440909090909e+07	(4.31624234511728e+01dB,1.59082210491761e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.53541818181818e+07	(4.31367188374984e+01dB,1.58503491341068e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.63642727272727e+07	(4.31104209073940e+01dB,1.57927705831701e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.73743636363636e+07	(4.30835407734830e+01dB,1.57354901492462e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.83844545454545e+07	(4.30560896315798e+01dB,1.56785123599899e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.93945454545455e+07	(4.30280787476834e+01dB,1.56218415179989e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.04046363636364e+07	(4.29995194452497e+01dB,1.55654817014618e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.14147272727273e+07	(4.29704230927617e+01dB,1.55094367652482e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.24248181818182e+07	(4.29408010916183e+01dB,1.54537103424044e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.34349090909091e+07	(4.29106648643575e+01dB,1.53983058460234e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.44450000000000e+07	(4.28800258432297e+01dB,1.53432264714593e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.54550909090909e+07	(4.28488954591342e+01dB,1.52884751988587e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.64651818181818e+07	(4.28172851309303e+01dB,1.52340547959835e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.74752727272727e+07	(4.27852062551328e+01dB,1.51799678213007e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.84853636363636e+07	(4.27526701960004e+01dB,1.51262166273167e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.94954545454545e+07	(4.27196882760224e+01dB,1.50728033641327e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.05055454545455e+07	(4.26862717668090e+01dB,1.50197299832028e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.15156363636364e+07	(4.26524318803887e+01dB,1.49669982412719e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.25257272727273e+07	(4.26181797609144e+01dB,1.49146097044771e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.35358181818182e+07	(4.25835264767784e+01dB,1.48625657525918e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.45459090909091e+07	(4.25484830131357e+01dB,1.48108675833974e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.55560000000000e+07	(4.25130602648336e+01dB,1.47595162171636e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.65660909090909e+07	(4.24772690297445e+01dB,1.47085125012230e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.75761818181818e+07	(4.24411200024973e+01dB,1.46578571146240e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.85862727272727e+07	(4.24046237686024e+01dB,1.46075505728478e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.95963636363636e+07	(4.23677907989646e+01dB,1.45575932325749e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.06064545454545e+07	(4.23306314447763e+01dB,1.45079852964900e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.16165454545455e+07	(4.22931559327838e+01dB,1.44587268181098e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.26266363636364e+07	(4.22553743609186e+01dB,1.44098177066256e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.36367272727273e+07	(4.22172966942843e+01dB,1.43612577317468e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.46468181818182e+07	(4.21789327614905e+01dB,1.43130465285364e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.56569090909091e+07	(4.21402922513225e+01dB,1.42651836022285e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.66670000000000e+07	(4.21013847097392e+01dB,1.42176683330191e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.76770909090909e+07	(4.20622195371851e+01dB,1.41704999808209e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.86871818181818e+07	(4.20228059862092e+01dB,1.41236776899760e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.96972727272727e+07	(4.19831531593774e+01dB,1.40772004939171e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.07073636363636e+07	(4.19432700074686e+01dB,1.40310673197723e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.17174545454545e+07	(4.19031653279428e+01dB,1.39852769929079e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.27275454545455e+07	(4.18628477636697e+01dB,1.39398282414012e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.37376363636364e+07	(4.18223258019077e+01dB,1.38947197004412e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.47477272727273e+07	(4.17816077735202e+01dB,1.38499499166511e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.57578181818182e+07	(4.17407018524207e+01dB,1.38055173523292e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.67679090909091e+07	(4.16996160552325e+01dB,1.37614203896045e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.77780000000000e+07	(4.16583582411546e+01dB,1.37176573345038e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.87880909090909e+07	(4.16169361120224e+01dB,1.36742264209286e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.97981818181818e+07	(4.15753572125520e+01dB,1.36311258145380e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.08082727272727e+07	(4.15336289307581e+01dB,1.35883536165370e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.18183636363636e+07	(4.14917584985355e+01dB,1.35459078673684e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.28284545454545e+07	(4.14497529923948e+01dB,1.35037865503063e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.38385454545455e+07	(4.14076193343413e+01dB,1.34619875949523e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.48486363636364e+07	(4.13653642928893e+01dB,1.34205088806306e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.58587272727273e+07	(4.13229944842012e+01dB,1.33793482396857e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.68688181818182e+07	(4.12805163733444e+01dB,1.33385034606792e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.78789090909091e+07	(4.12379362756551e+01dB,1.32979722914875e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.88890000000000e+07	(4.11952603582036e+01dB,1.32577524423013e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.98990909090909e+07	(4.11524946413511e+01dB,1.32178415885256e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.09091818181818e+07	(4.11096450003903e+01dB,1.31782373735830e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.19192727272727e+07	(4.10667171672648e+01dB,1.31389374116205e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.29293636363636e+07	(4.10237167323575e+01dB,1.30999392901199e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.39394545454545e+07	(4.09806491463432e+01dB,1.30612405724153e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.49495454545455e+07	(4.09375197220975e+01dB,1.30228388001162e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.59596363636364e+07	(4.08943336366580e+01dB,1.29847314954406e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.69697272727273e+07	(4.08510959332296e+01dB,1.29469161634576e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.79798181818182e+07	(4.08078115232297e+01dB,1.29093902942418e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.89899090909091e+07	(4.07644851883684e+01dB,1.28721513649413e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.00000000000000e+08	(4.07211215827568e+01dB,1.28351968417618e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
Step Information: Re=680  (Step: 2/2)
1.00000000000000e+03	(3.22997999916677e+01dB,-1.24601488067906e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.01109090909091e+06	(3.67434913595981e+01dB,1.79584110106829e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.02118181818182e+06	(3.67427301201678e+01dB,1.79052121918352e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.03127272727273e+06	(3.67414536310595e+01dB,1.78546137949676e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.04136363636364e+06	(3.67396662638628e+01dB,1.78046787087855e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.05145454545454e+06	(3.67373691197143e+01dB,1.77550232586034e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.06154545454545e+06	(3.67345631094352e+01dB,1.77055228773317e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.07163636363636e+06	(3.67312492390823e+01dB,1.76561270412315e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.08172727272727e+06	(3.67274286636150e+01dB,1.76068129840766e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.09181818181818e+06	(3.67231027005161e+01dB,1.75575702628765e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.01019090909091e+07	(3.67182728333610e+01dB,1.75083945812379e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.11120000000000e+07	(3.67129407121330e+01dB,1.74592849797036e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.21220909090909e+07	(3.67071081522343e+01dB,1.74102424291942e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.31321818181818e+07	(3.67007771328563e+01dB,1.73612690721268e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.41422727272727e+07	(3.66939497949672e+01dB,1.73123677874304e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.51523636363636e+07	(3.66866284390273e+01dB,1.72635419283502e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.61624545454545e+07	(3.66788155224868e+01dB,1.72147951574856e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.71725454545455e+07	(3.66705136570964e+01dB,1.71661313390610e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.81826363636364e+07	(3.66617256060485e+01dB,1.71175544662088e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.91927272727273e+07	(3.66524542809622e+01dB,1.70690686103997e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.02028181818182e+07	(3.66427027387232e+01dB,1.70206778853030e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.12129090909091e+07	(3.66324741781869e+01dB,1.69723864203016e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.22230000000000e+07	(3.66217719367548e+01dB,1.69241983406213e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.32330909090909e+07	(3.66105994868301e+01dB,1.68761177520951e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.42431818181818e+07	(3.65989604321634e+01dB,1.68281487292415e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.52532727272727e+07	(3.65868585040948e+01dB,1.67802953057612e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.62633636363636e+07	(3.65742975577003e+01dB,1.67325614668291e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.72734545454545e+07	(3.65612815678523e+01dB,1.66849511427485e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.82835454545455e+07	(3.65478146252004e+01dB,1.66374682036530e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
2.92936363636364e+07	(3.65339009320820e+01dB,1.65901164550325e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.03037272727273e+07	(3.65195447983699e+01dB,1.65428996339180e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.13138181818182e+07	(3.65047506372657e+01dB,1.64958214056011e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.23239090909091e+07	(3.64895229610460e+01dB,1.64488853607977e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.33340000000000e+07	(3.64738663767702e+01dB,1.64020950131852e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.43440909090909e+07	(3.64577855819580e+01dB,1.63554537972597e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.53541818181818e+07	(3.64412853602426e+01dB,1.63089650664705e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.63642727272727e+07	(3.64243705770089e+01dB,1.62626320916015e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.73743636363636e+07	(3.64070461750240e+01dB,1.62164580593699e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.83844545454545e+07	(3.63893171700657e+01dB,1.61704460712250e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
3.93945454545455e+07	(3.63711886465577e+01dB,1.61245991423267e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.04046363636364e+07	(3.63526657532180e+01dB,1.60789202006917e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.14147272727273e+07	(3.63337536987258e+01dB,1.60334120864939e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.24248181818182e+07	(3.63144577474160e+01dB,1.59880775515107e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.34349090909091e+07	(3.62947832150039e+01dB,1.59429192587041e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.44450000000000e+07	(3.62747354643498e+01dB,1.58979397819307e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.54550909090909e+07	(3.62543199012655e+01dB,1.58531416057731e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.64651818181818e+07	(3.62335419703714e+01dB,1.58085271254855e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.74752727272727e+07	(3.62124071510068e+01dB,1.57640986470499e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.84853636363636e+07	(3.61909209531992e+01dB,1.57198583873350e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
4.94954545454545e+07	(3.61690889136975e+01dB,1.56758084743544e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.05055454545455e+07	(3.61469165920727e+01dB,1.56319509476188e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.15156363636364e+07	(3.61244095668908e+01dB,1.55882877585781e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.25257272727273e+07	(3.61015734319598e+01dB,1.55448207711477e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.35358181818182e+07	(3.60784137926575e+01dB,1.55015517623164e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.45459090909091e+07	(3.60549362623392e+01dB,1.54584824228305e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.55560000000000e+07	(3.60311464588319e+01dB,1.54156143579506e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.65660909090909e+07	(3.60070500010144e+01dB,1.53729490882771e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.75761818181818e+07	(3.59826525054882e+01dB,1.53304880506403e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.85862727272727e+07	(3.59579595833389e+01dB,1.52882325990516e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
5.95963636363636e+07	(3.59329768369920e+01dB,1.52461840057118e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.06064545454545e+07	(3.59077098571628e+01dB,1.52043434620734e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.16165454545455e+07	(3.58821642199027e+01dB,1.51627120799522e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.26266363636364e+07	(3.58563454837427e+01dB,1.51212908926859e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.36367272727273e+07	(3.58302591869346e+01dB,1.50800808563361e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.46468181818182e+07	(3.58039108447910e+01dB,1.50390828509291e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.56569090909091e+07	(3.57773059471237e+01dB,1.49982976817341e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.66670000000000e+07	(3.57504499557810e+01dB,1.49577260805742e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.76770909090909e+07	(3.57233483022842e+01dB,1.49173687071674e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.86871818181818e+07	(3.56960063855625e+01dB,1.48772261504953e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
6.96972727272727e+07	(3.56684295697860e+01dB,1.48372989301956e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.07073636363636e+07	(3.56406231822961e+01dB,1.47975874979759e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.17174545454545e+07	(3.56125925116331e+01dB,1.47580922390461e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.27275454545455e+07	(3.55843428056595e+01dB,1.47188134735669e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.37376363636364e+07	(3.55558792697775e+01dB,1.46797514581115e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.47477272727273e+07	(3.55272070652414e+01dB,1.46409063871378e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.57578181818182e+07	(3.54983313075612e+01dB,1.46022783944697e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.67679090909091e+07	(3.54692570649973e+01dB,1.45638675547839e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.77780000000000e+07	(3.54399893571452e+01dB,1.45256738851010e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.87880909090909e+07	(3.54105331536075e+01dB,1.44876973462781e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
7.97981818181818e+07	(3.53808933727516e+01dB,1.44499378445015e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.08082727272727e+07	(3.53510748805528e+01dB,1.44123952327771e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.18183636363636e+07	(3.53210824895185e+01dB,1.43750693124170e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.28284545454545e+07	(3.52909209576940e+01dB,1.43379598345200e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.38385454545455e+07	(3.52605949877465e+01dB,1.43010665014455e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.48486363636364e+07	(3.52301092261256e+01dB,1.42643889682777e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.58587272727273e+07	(3.51994682622982e+01dB,1.42279268442800e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.68688181818182e+07	(3.51686766280567e+01dB,1.41916796943375e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.78789090909091e+07	(3.51377387968961e+01dB,1.41556470403866e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.88890000000000e+07	(3.51066591834609e+01dB,1.41198283628299e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
8.98990909090909e+07	(3.50754421430571e+01dB,1.40842231019367e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.09091818181818e+07	(3.50440919712283e+01dB,1.40488306592259e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.19192727272727e+07	(3.50126129033939e+01dB,1.40136503988329e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.29293636363636e+07	(3.49810091145469e+01dB,1.39786816488569e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.39394545454545e+07	(3.49492847190092e+01dB,1.39439237026902e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.49495454545455e+07	(3.49174437702421e+01dB,1.39093758203271e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.59596363636364e+07	(3.48854902607102e+01dB,1.38750372296528e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.69697272727273e+07	(3.48534281217970e+01dB,1.38409071277105e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.79798181818182e+07	(3.48212612237688e+01dB,1.38069846819475e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
9.89899090909091e+07	(3.47889933757863e+01dB,1.37732690314391e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
1.00000000000000e+08	(3.47566283259608e+01dB,1.37397592880896e+02°)	(0.00000000000000e+00dB,0.00000000000000e+00°)
